id,age,timestamp,trick_or_treat,n_mints,dress,font
ID0366,42,2015-10-23T11:51:35Z,No,17,White and gold,Optima
ID0367,39,2015-10-23T11:53:06Z,Yes,17,Blue and black,hyborian
ID0369,43,2015-10-23T11:55:12Z,No,NA,NA,NA
ID0370,44,2015-10-23T11:56:21Z,No,12,White and gold,times new roman
ID0371,59,2015-10-23T11:56:48Z,No,23,Blue and black,helvetica
ID0372,27,2015-10-23T11:56:49Z,No,14,Blue and black,scriptina
ID0373,30,2015-10-23T11:56:55Z,No,5,White and gold,Baskerville Old Face
ID0374,45,2015-10-23T11:59:49Z,No,4,Blue and black,NA
ID0375,54,2015-10-23T12:00:14Z,No,NA,White and gold,Comic sans
ID0376,45,2015-10-23T12:00:22Z,No,42,White and gold,NA
ID0377,20,2015-10-23T12:00:22Z,Yes,24,White and gold,Baskerville
ID0379,28,2015-10-23T12:01:13Z,No,42,Blue and black,Georgia
ID0381,35,2015-10-23T12:02:00Z,No,"Why are you eating mints? Did you eat something stinky? Why don't you ever share your mints, Steve?!",Blue and black,Not Dingbats
ID0382,58,2015-10-23T12:02:18Z,No,5,Blue and black,times roman
ID0383,43,2015-10-23T12:03:10Z,No,2,White and gold,Anything that isn't Comic Sans
ID0384,46,2015-10-23T12:03:45Z,No,17,White and gold,Palatino
ID0385,39,2015-10-23T12:03:48Z,No,22,White and gold,times new roman
ID0386,15,2015-10-23T12:04:27Z,No,7,Blue and black,helvetica bold
ID0388,29,2015-10-23T12:04:29Z,No,14,Blue and black,Kievit
ID0389,32,2015-10-23T12:05:01Z,Yes,7,Blue and black,Trojan
ID0390,50,2015-10-23T12:05:14Z,No,3,White and gold,Consolas
ID0391,24,2015-10-23T12:05:22Z,No,0,Blue and black,Avenir
ID0392,59,2015-10-23T12:05:26Z,No,6,White and gold,Eccentric
ID0393,57,2015-10-23T12:05:43Z,No,5,Blue and black,futura
ID0394,56,2015-10-23T12:05:45Z,No,NA,NA,NA
ID0395,44,2015-10-23T12:05:48Z,No,5,Blue and black,Open Sans
ID0396,48,2015-10-23T12:06:08Z,No,7,White and gold,NA
